id,名称,カテゴリ,都道府県コード,都道府県名,市区町村コード,市区町村名,緯度,経度,情報,情報の出典,データソース
NEW05144,真締川ダム,ダム,35,山口県,,Unknown,33.9933333,131.2702778,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05145,佐波川ダム,ダム,35,山口県,,Unknown,34.2772222,131.6544444,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05146,荒谷ダム,ダム,35,山口県,,Unknown,34.2341667,131.4916667,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05147,一の坂ダム,ダム,35,山口県,,Unknown,34.2041667,131.4691667,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05148,生雲ダム,ダム,35,山口県,,Unknown,34.3308333,131.5730556,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05149,阿武川ダム,ダム,35,山口県,,Unknown,34.3586111,131.4869444,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05150,見島ダム,ダム,35,山口県,,Unknown,34.7741667,131.1513889,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05151,佐々並川ダム,ダム,35,山口県,,Unknown,34.3237056,131.5072722,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05152,末武川ダム,ダム,35,山口県,,Unknown,34.0563889,131.8719444,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05153,生見川ダム,ダム,35,山口県,,Unknown,34.2013889,132.0438889,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05154,小瀬川ダム,ダム,35,山口県,,Unknown,34.3088889,132.1238889,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05155,中山川ダム,ダム,35,山口県,,Unknown,34.0569444,132.0513889,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05156,御庄川ダム,ダム,35,山口県,,Unknown,34.1291667,132.1508333,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05157,平瀬ダム,ダム,35,山口県,,Unknown,34.2541667,131.9375,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05158,大坊ダム,ダム,35,山口県,,Unknown,34.3419444,131.0577778,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05159,湯免ダム,ダム,35,山口県,,Unknown,34.3427778,131.2683333,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
